,0
0,197001.2416211218
1,167037.87600606846
2,217282.68288413278
3,147895.79654067356
4,250580.5417191872
5,161366.57210138233
6,278462.94391606154
7,192434.51971259303
8,111992.31552343817
9,109794.36244051573
10,136089.78458590692
11,339323.77824902255
12,133183.2042717934
13,276712.33823664626
14,154465.8045336564
15,130601.45643542868
16,157075.3392561259
17,99415.75588328844
18,158453.89976106503
19,143030.13918840428
20,321231.8129906208
21,141037.76523783093
22,229575.08879621443
23,138370.81109308908
24,153741.87317725012
25,260800.8830703551
26,122646.34745093042
27,305271.8925885767
28,209191.83788808397
29,64670.45506495409
30,60974.46082522012
31,113031.64468980777
32,184917.3742368919
33,172040.91324309778
34,277652.84074405214
35,305900.37917451625
36,147520.5620147607
37,153607.13920921084
38,111652.44137624612
39,88142.9098823758
40,165533.84338914216
41,160962.67468744805
42,149760.1044807791
43,153094.03159520743
44,143963.9540872748
45,309882.1852173496
46,237565.50977580372
47,236204.14176399697
48,115802.78126749149
49,130101.26879838336
50,174182.11187980344
51,134785.4213443389
52,107339.22683511979
53,380935.5692945188
54,136215.54219639787
55,178198.14161169366
56,167846.17591980266
57,231921.87763522702
58,441287.92317878484
59,130060.7942445872
60,152825.6618886431
61,116651.46030908404
62,200829.1969463365
63,138892.0518939824
64,210905.26982673057
65,299170.38127280166
66,172540.75671477892
67,221764.225607176
68,81143.14710614081
69,225255.7199862291
70,242926.19848418908
71,119292.75958972612
72,190587.07650421598
73,145355.96764327923
74,109885.4252057606
75,94818.61748137049
76,123018.48109991322
77,129615.94893061034
78,141510.89336620856
79,109248.36166816819
80,192078.38595172073
81,163439.44946000655
82,230113.72771510258
83,121954.69054652336
84,165617.01443457755
85,254678.40815379925
86,173821.48876393941
87,164881.80391624014
88,86027.32852908125
89,136105.60417517702
90,115597.69281341643
91,105306.70845248393
92,161685.29444670898
93,135730.0361602108
94,207069.52676726278
95,174521.07926073548
96,211996.1328482732
97,97841.01942167872
98,117754.08518403544
99,125885.67652431918
100,205547.71901450108
101,167497.0504964633
102,126153.89844004433
103,197251.53981711506
104,152630.0807200756
105,248992.74583062466
106,96980.74885132918
107,109450.24401383358
108,121169.3158801789
109,194683.3518172691
110,139170.65461186197
111,174413.72751772328
112,385457.5129922834
113,215646.28747469623
114,254517.68597317542
115,170026.36331515346
116,125322.22044588262
117,151246.91522968144
118,311258.890140791
119,167114.59811064866
120,149113.87786895482
121,101413.10273333287
122,144858.8377870367
123,150309.7056160291
124,174135.89696250818
125,82732.71215497864
126,136186.44412887076
127,86997.98032920266
128,149050.66402847154
129,166263.46581165798
130,208422.17030077506
131,240296.35813271085
132,147331.6471650856
133,212876.91913676768
134,180837.1449486078
135,179930.96324588958
136,139483.05345668402
137,174659.60778907756
138,223366.3805674908
139,224535.41132548114
140,108326.7773744533
141,226268.669202869
142,148859.96075500236
143,192062.99650644936
144,142543.57614650088
145,133801.95718892888
146,110397.49712427452
147,222147.30899411344
148,157881.49246518544
149,126375.64415216248
150,124054.26907968546
151,390372.6317121496
152,222647.7012523313
153,254370.8398663488
154,131036.8771552522
155,90267.2956108148
156,117273.66273421656
157,263181.3412288976
158,245386.23967100374
159,315542.5997126631
160,164272.9612287577
161,403780.9410140828
162,219861.43967366152
163,111258.66535779463
164,132081.65015225977
165,130291.91345160009
166,188442.83357003683
167,319778.9991922342
168,191128.64506582503
169,233137.5926254245
170,139157.44464607956
171,213518.39568853876
172,232943.597626818
173,162901.2192524677
174,183056.24547779647
175,237775.09580721185
176,211068.15929800633
177,170488.2621895802
178,489446.5118591864
179,76663.65519843207
180,178763.5383180033
181,199742.49409129898
182,126577.70398420408
183,198052.21505625488
184,132100.49122104998
185,475220.49133015354
186,168453.920583021
187,139812.6038849612
188,136625.94526882048
189,278661.16235648876
190,306733.46173078666
191,174383.32609995003
192,176907.28197263772
193,135032.3059897368
194,126273.83454728367
195,148795.58454141003
196,304219.2955167572
197,232131.85864567762
198,105310.15379485357
199,286426.35277075827
200,145655.5440105532
201,177266.59431468596
202,126333.44245392962
203,151832.7689960216
204,112867.03510779949
205,178319.57731493932
206,140209.1198888604
207,145269.5564448078
208,276418.606677177
209,135074.89012416062
210,103217.14447908381
211,182792.66106505945
212,247776.3174608884
213,156408.87845930972
214,162961.8268290153
215,138848.2525056221
216,203704.73949458153
217,121305.39969421152
218,313190.47804785013
219,160453.97815592203
220,207681.53596930523
221,200544.80592742263
222,172037.62733036187
223,112634.74719161386
224,380942.01338249375
225,109346.68875109048
226,286428.84938053245
227,98055.80075875275
228,125100.34606629361
229,187356.56509587535
230,163726.95677402595
231,397836.1934523136
232,96462.28621079856
233,127793.68986201636
234,216399.5668209597
235,98434.75782282966
236,185886.6101668857
237,197611.47975742182
238,313706.52002545475
239,112083.08822545357
240,250054.08355496082
241,114895.08960344574
242,102112.12702199703
243,156446.58474997565
244,207559.67253919522
245,239218.18597985274
246,139769.4798903508
247,142491.02016551053
248,190245.7054424842
249,276970.1022830497
250,89252.55573279187
251,236510.7355092284
252,182364.23512855422
253,156868.99882425115
254,162336.90301773357
255,224650.40917606655
256,191622.74613895448
257,195220.4352591046
258,230244.1290047144
259,101652.89909958234
260,165218.42213803902
261,271430.00648838317
262,153763.46861562188
263,133727.80980284006
264,75351.87489991472
265,193300.60391181466
266,186071.38747389519
267,165183.07233196095
268,117210.01617622968
269,153937.03425781094
270,257258.32263543477
271,208653.18336344647
272,282557.5905331359
273,143549.85380901085
274,126288.85593014474
275,186393.43056174394
276,192356.91803521584
277,135303.0451992379
278,413042.6437161741
279,194621.29490083433
280,228452.33112727353
281,146447.9304613974
282,208469.6230953705
283,245564.77281143016
284,179016.34544425123
285,167165.36895209187
286,152656.53296335164
287,116423.33212899094
288,129870.9057869728
289,151508.35255652788
290,226924.3693030354
291,139126.51542513788
292,132545.05604671812
293,236574.83938590542
294,160138.3461129456
295,143071.62513641836
296,150443.59647464592
297,237678.61277696473
298,178225.8843155655
299,187615.077088787
300,152621.68502872757
301,266918.2910392725
302,207682.11674034054
303,131773.44813525598
304,287712.5007875531
305,301156.68917912815
306,226390.29751395198
307,89504.11090455028
308,86608.794506008
309,358131.67509373504
310,167176.9353234715
311,142623.112422798
312,126464.20766197197
313,374674.4421210281
314,169687.26723104945
315,174827.57859802077
316,248376.09771749115
317,215384.7995613193
318,250425.84906913256
319,184909.5165423119
320,338321.98185718915
321,352831.8885041397
322,296896.0576555397
323,114688.84940059851
324,228900.43856663487
325,87827.09611654245
326,318238.83429862454
327,144519.9257411583
328,199405.22307696633
329,77978.66727617395
330,130947.9593419325
331,138751.46919191803
332,283711.6595161524
333,198374.47220161228
334,203860.7711575887
335,212124.3328259521
336,373202.03577165393
337,200649.6483868249
338,182613.91702780395
339,152305.47003711076
340,202018.73131889195
341,86835.14148172307
342,98984.79158534092
343,260360.00005277488
344,86571.09410748084
345,136930.00972862847
346,148523.71418180404
347,157987.79180445868
348,158403.9665383574
349,440373.0806140661
350,309435.60616476194
351,194531.79885349263
352,104940.14886778781
353,91462.14730999607
354,132893.26365677043
355,162121.10270709707
356,168586.54275347493
357,127480.46438827294
358,136410.12764488073
359,272016.94289304054
360,130806.18640499204
361,144565.07650001312
362,196362.87977504768
363,103262.65837724932
364,186248.07284367952
365,135570.77279646345
366,159237.74180495378
367,164328.0121653789
368,135846.81176763034
369,164458.70216916015
370,168874.0298672173
371,134347.22159141678
372,124634.8646660031
373,118645.65902575002
374,218515.77855738002
375,71796.48556838594
376,150303.3607937688
